photographer,Title,URL,imageurl,year,lat,lon,latlon
"Atkins, Lacy","John W. Mack, Earvin ""Magic"" Johnson, and Sidney Poitier, Century Plaza, Century City, 1989",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/C1429_b4045_F308105_Frame13.jpg,1989,34.05746832,-118.4158266,"34.05746832,-118.4158266"
"Atkins, Lacy","John W. Mack, Pat Riley, Magic Johnson, and Jerry West at the Century Plaza, Century City, 1989",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/C1429_b4045_F308105_Frame14.jpg,1989,34.05746832,-118.4158266,"34.05746832,-118.4158266"
"Atkins, Lacy","Earvin ""Magic"" Johnson, Pat Riley, and Jerry West at the Century Plaza, Century City, 1989",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/C1429_b4045_F308105_Frame15.jpg,1989,34.05746832,-118.4158266,"34.05746832,-118.4158266"
"Atkins, Lacy","Earvin ""Magic"" Johnson, Pat Riley, and Jerry West at the Century Plaza, Century City, 1989",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/C1429_b4045_F308105_Frame16.jpg,1989,34.05746832,-118.4158266,"34.05746832,-118.4158266"
"Meyer, Rick","Bradbury Building, interior, Los Angeles, Calif., 1989",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b4039_307912.jpg,1989,34.0508353,-118.2481297,"34.0508353,-118.2481297"
"Gabriel, Robert","Luz International solar plant in Boron, Calif., 1989",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b4030_307695-1.jpg,1989,35.01565746,-117.5598049,"35.01565746,-117.5598049"
"McKoy, Kirk","Al Nodal of Los Angeles Department of Cultural Affairs, 1988",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b4030_307683-4.jpg,1988,34.05889044,-118.2516861,"34.05889044,-118.2516861"
"Galvez, Jose","Compton High School band at event honoring Berry Gordy in Compton, Calif., 1988",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3924_307595.jpg,1988,33.895537,-118.2243584,"33.895537,-118.2243584"
"Rapping, Anacleto","Fire at the Hall of Justice in Los Angeles, Calif., 1988",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3919_307466.jpg,1988,34.0550631,-118.243307,"34.0550631,-118.243307"
"Gabriel, Robert","Mayor Tom Bradley at podium during opening of Crenshaw Mall in Los Angeles, Calif., 1988",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3919_307446.jpg,1988,34.01720232,-118.345204,"34.01720232,-118.345204"
"Kelsey, Thomas","Amnesty International concert at LA Memorial Coliseum, Calif., 1988",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3914_307289-1.jpg,1988,34.0131471,-118.2884002,"34.0131471,-118.2884002"
"Atkins, Lacy","Martin Sheen and Edwards James Olmos during UFW hunger strike at Our Lady of Angels Church, Calif., 1988",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3908_307193.jpg,1988,34.05791716,-118.2452005,"34.05791716,-118.2452005"
"Meadows, Mike","Fa̤ade of the Mayan Theatre in Los Angeles, Calif., 1988",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3904_307138.jpg,1988,34.040729,-118.259068,"34.040729,-118.259068"
"Fry, George R.","Los Angeles International Airport renovation and reconstruction, 1988",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3902_307079-1.jpg,1988,33.94457041,-118.4046364,"33.94457041,-118.4046364"
"Lubas, Ken","Lopez Gracino waiting with cart of flowers at Los Angeles Flower Mart, 1988",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3899_306991-1.jpg,1988,34.04043604,-118.249712,"34.04043604,-118.249712"
"Lubas, Ken","Coles P.E. Buffet at 118 East 6th Street in Los Angeles, Calif., 1988",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3898_306957.jpg,1988,34.04484777,-118.2492694,"34.04484777,-118.2492694"
"Lubas, Ken","LAX main terminal renovation, interior view looking out at Theme Building, Calif., 1988",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3895_306870.jpg,1988,33.94341335,-118.4032524,"33.94341335,-118.4032524"
"Meyer, Rick","LAPD helicopter in-flight over downtown near One Wilshire building in Los Angeles, Calif., 1988",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3886_306667.jpg,1988,34.04767249,-118.2591587,"34.04767249,-118.2591587"
"Keyes, Con","Aircraft workers building C-5B at Lockheed's Watts-Willowbrook Plant, Calif., 1988",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3884_306577.jpg,1988,33.92407921,-118.2267308,"33.92407921,-118.2267308"
"Downs, Patrick","Father Richard Estrada [?] with released INS detainees at Our Lady Queen of Angels Church, Calif., 1987",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3871_306239.jpg,1987,34.05716607,-118.2397449,"34.05716607,-118.2397449"
"McKoy, Kirk","Matao Uwate, host of ""Radio Li'l Tokyo"" in Los Angeles, Calif., 1987",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3867_306133.jpg,1987,34.04933484,-118.2417512,"34.04933484,-118.2417512"
"Cohen, Cassy","Aerial view of coastline and inland area around Malibu, Calif., 1987",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3396_304037-4.jpg,1987,34.03647973,-118.7003231,"34.03647973,-118.7003231"
"Leffingwell, Randy","Colorado Street Bridge in Pasadena, Calif., 1987",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3845_305466.jpg,1987,34.14448725,-118.1662846,"34.14448725,-118.1662846"
"Galvez, Jose","Crowd with signs in Korean and English at rally in support of protesters in South Korea, Los Angeles, Calif., 1987",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3843_305376.jpg,1987,34.05334388,-118.3011192,"34.05334388,-118.3011192"
"Gabriel, Robert","Crowd at Grand Central Market in Los Angeles, Calif., 1987",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3838_305224.jpg,1987,34.05099381,-118.2491367,"34.05099381,-118.2491367"
"Schneider, Iris","Clergymen at Armenian Genocide Day of Remembrance event in Montebello, Calif., 1987",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3835_305126-1-1.jpg,1987,34.02845986,-118.1309223,"34.02845986,-118.1309223"
"Schneider, Iris","Demonstrators outside Turkish consulate on Armenian Genocide Day of Remembrance in Los Angeles, Calif., 1987",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3835_305126-1-2.jpg,1987,34.06331677,-118.3663023,"34.06331677,-118.3663023"
"Keyes, Con","Library books in cold storage, Los Angeles, Calif., 1987",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3835_305142.jpg,1987,34.05051712,-118.2553446,"34.05051712,-118.2553446"
"Lubas, Ken","Maria Girelda selecting cactus at Sal's Market on Brooklyn Ave. in Boyle Heights, Calif., 1987",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3871_306256.jpg,1987,34.04001152,-118.192884,"34.04001152,-118.192884"
"Lubas, Ken","Maureen Kindel inspecting homeless sidewalk encampment on Skid Row in Los Angeles, Calif., 1987",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3828_304920-1.jpg,1987,34.04385877,-118.2432318,"34.04385877,-118.2432318"
"Shepler, Lori","Altercation between Cal's John Wheeler and UCLA's Trevor Wilson, 1987",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3421_304504-2.jpg,1987,34.0703202,-118.4468007,"34.0703202,-118.4468007"
"Schneider, Iris","Main waiting room of Los Angeles Union Station, 1987",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3826_304888-1.jpg,1987,34.05636165,-118.2364082,"34.05636165,-118.2364082"
"Lubas, Ken","Lobby of the Los Angeles Theatre, 1987",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3825_304859.jpg,1987,34.04642127,-118.2525954,"34.04642127,-118.2525954"
"Gadbery, Brian","Derrick Dowell in USC vs UCLA basketball game, 1987",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3421_304504-1.jpg,1987,34.01272023,-118.2845485,"34.01272023,-118.2845485"
"Gladstone, Penni","Mayor Tom Bradley and Councilwoman-elect Gloria Molina, Los Angeles, Calif., 1987",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3824_304820.jpg,1987,34.05369944,-118.2426739,"34.05369944,-118.2426739"
"Jaskol, Ellen","""Warning Wading & Swimming Unsafe"" sign posted at Malibu Lagoon, Calif., 1978",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3427_304631-2.jpg,1987,34.0317497,-118.6825347,"34.0317497,-118.6825347"
"Gladstone, Penni","Homeless sleeping on floor of Council Chambers at City Hall, Los Angeles, 1987",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3821_304718.jpg,1987,34.053589,-118.243264,"34.053589,-118.243264"
"Lubas, Ken","Downtown skyline viewed from Elysian Park in Los Angeles, Calif., 1987",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3820_304680.jpg,1987,34.08529388,-118.2410431,"34.08529388,-118.2410431"
"Lubas, Ken","Bulldozer clearing homeless camp in Los Angeles, Calif., 1987",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3818_304654.jpg,1987,34.05603721,-118.2491863,"34.05603721,-118.2491863"
"Meyer, Rick","Mexicana airliner flying over ASR-7 radar facility in Los Angeles, Calif., 1986",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3427_304629-1-1.jpg,1986,33.94343115,-118.4091425,"33.94343115,-118.4091425"
"Brown, Sarah M.","Afghani protesters with signs decrying Soviet occupation of Afghanistan, Los Angeles, Calif., 1986",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3426_304625-1.jpg,1986,34.05370833,-118.2435644,"34.05370833,-118.2435644"
"Gadbery, Brian","Museum of Tolerance groundbreaking, Los Angeles, Calif., 1986",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3423_304548.jpg,1986,34.053995,-118.4026489,"34.053995,-118.4026489"
"Jaskol, Ellen","Cocktail hour in the grand lobby of the at Biltmore Hotel, Calif., 1986",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3420_304501.jpg,1986,34.04953929,-118.2539392,"34.04953929,-118.2539392"
"Meyer, Rick","Art Torres speaking against Los Angeles City Energy Recovery Project (LANCER), 1986",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3421_304506.jpg,1986,34.0079855,-118.2395486,"34.0079855,-118.2395486"
,"Demonstrators with signs reading ""No Pasaran"" and ""Stop Bombing El Salvador"" in front of Los Angeles City Hall, 1986",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3415_304389.jpg,1986,34.05314832,-118.2432613,"34.05314832,-118.2432613"
"Kaul, Rosemary","Margaret Prescod of Black Coalition Fighting Back Serial Murders handing out flyers about the Southside Slayer on Rodeo Drive in Beverly Hills, Calif., 1986",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3411_304327.jpg,1986,34.06919929,-118.4031384,"34.06919929,-118.4031384"
"Barnard, Tony","Buildings and traffic on Hollywood Blvd. near Bronson Street in Hollywood, Calif., 1986",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3411_304327-1.jpg,1986,34.10164637,-118.3250874,"34.10164637,-118.3250874"
"Meadows, Mike","Demonstrators with signs reading ""LaRouche Public Health Enemy #1,"" protesting AIDS Initiative, Calif., 1986",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3404_304217.jpg,1986,34.11630806,-118.2718885,"34.11630806,-118.2718885"
"Melcon, Mel","Linda Ronstadt performing at International Festival of Mariachis, Calif., 1986",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3402_304183.jpg,1986,34.13807605,-118.3533847,"34.13807605,-118.3533847"
,"Arson investigators in art and music reading room of Los Angeles Central Library, 1986",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3401_304175.jpg,1986,34.05057046,-118.2553768,"34.05057046,-118.2553768"
"Kennedy, Joe","Burned out houses at Aeromexico Flight 498 crash site in Cerritos, Calif., 1986",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3401_304158-1.jpg,1986,33.8686339,-118.0462933,"33.8686339,-118.0462933"
"Gabriel, Robert","Crowd at Mahalia Jackson Gospel Music Festival in Los Angeles, Calif., 1986",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3401_304159.jpg,1986,34.05985928,-118.2770598,"34.05985928,-118.2770598"
"Atkins, Lacy","Latino couple comforting each other at LAX after learning of Aeromexico plane crash, 1986",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3401_304158.jpg,1986,33.94625257,-118.4040356,"33.94625257,-118.4040356"
"Meyer, Rick","Defendants in court during Twilight Zone trial in Los Angeles, Calif., 1986",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3400_304153.jpg,1986,34.05548611,-118.2471693,"34.05548611,-118.2471693"
"Bessel, Larry","Disc jockey Rick Dees in KIIS FM studio, Calif., 1986",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3400_304144.jpg,1986,34.15349941,-118.3361542,"34.15349941,-118.3361542"
"Kennedy, Joe","Aerial view of Westwood Village at Wilshire Blvd. in Los Angeles, Calif., 1986",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3398_304097-1.jpg,1986,34.06156582,-118.448925,"34.06156582,-118.448925"
,"Arrested illegal immigrant and INS agent in Los Angeles, Calif., 1986",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3397_304072.jpg,1986,34.03491716,-118.4382445,"34.03491716,-118.4382445"
"Olmos, Edward James","Dodgers' Enos Cabell watching the first grand slam of his career head toward the fence, Los Angeles, Calif., 1986",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3359_303277-3.jpg,1986,34.07337514,-118.2400078,"34.07337514,-118.2400078"
"Roth, Marissa","Bullock's department store in downtown Los Angeles, Calif., 1986",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3396_304044.jpg,1986,34.04513003,-118.2533705,"34.04513003,-118.2533705"
"Bessel, Larry","Dean Walters and car under collapsed carport after Chalfant earthquake, Calif., 1986",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3394_304003.jpg,1986,37.53377306,-118.3651543,"37.53377306,-118.3651543"
,"Church of the Open Door congregation cheering Dr. Gene Scott, 1986",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3390_303937-1.jpg,1986,34.14704838,-117.8783085,"34.14704838,-117.8783085"
"Barmann, Timothy C.","Father Luis Olivares standing below Virgin of Guadalupe icon, Los Angeles, Calif., 1986",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3390_303936-1.jpg,1986,34.05716607,-118.2397449,"34.05716607,-118.2397449"
"Atkins, Lacy","Dr. Gene Scott on stage of Church of the Open Door, 1986",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3390_303937-2.jpg,1986,34.04966819,-118.2556987,"34.04966819,-118.2556987"
"Kelsey, Thomas","Alida Amabile at entrance to Plaza de la Raza in Los Angeles, Calif., 1986",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3390_303927.jpg,1986,34.06704519,-118.2027063,"34.06704519,-118.2027063"
"Atkins, Lacy","Lonnie Bunch, curator at California Afro-American Museum, 1986",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3390_303923.jpg,1986,34.01590174,-118.2833818,"34.01590174,-118.2833818"
"Barnard, Tony","Aerial view of construction on Century Freeway overpass on Harbor Freeway, Calif., 1986",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3392_303973-2-2.jpg,1986,33.93088048,-118.2805252,"33.93088048,-118.2805252"
"Kelsey, Thomas","Mayor Tom Bradley and Alan Cranston speaking at divest and Anti-Apartheid rally at UCLA, 1986",,"http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3388_303870-1|~|sheet 2, frame 36.jpg",1986,34.07098674,-118.4447622,"34.07098674,-118.4447622"
"Jaskol, Ellen","Ann Patterson's Maiden Voyage Jazz Orchestra, Los Angeles, Calif., 1986",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3387_303851.jpg,1986,34.09492095,-118.3727771,"34.09492095,-118.3727771"
"Dykes, Steve","Manuel Arte as Jane Russell and Frankie Kein as Marilyn Monroe in drag show ""Faces"" in Santa Monica, Calif., 1986",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3387_303841.jpg,1986,34.0150858,-118.4965235,"34.0150858,-118.4965235"
"Becker, David","Civic center of Pasadena, Calif., 1986",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3385_303821-2.jpg,1986,34.1439456,-118.1425095,"34.1439456,-118.1425095"
"Meyer, Rick","Joaquin Coronel, Luis Flores and Juan Villa sorting belongs in burned out apartment in Los Angeles, Calif., 1986",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3381_303764.jpg,1986,34.0541516,-118.2716581,"34.0541516,-118.2716581"
"Shepler, Lori","Mike Powell mid-leap in long jump, 1986",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3381_303765.jpg,1986,34.0140631,-118.2879308,"34.0140631,-118.2879308"
"Traeger, Marsha","Los Angeles Dodgers' Fernando Valenzuela pitching, 1986",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3381_303751.jpg,1986,34.07346623,-118.240394,"34.07346623,-118.240394"
"Almeida, Monica","Armand Hammer and Robert Gale at 88th birthday tribute to Hammer in Los Angeles, Calif., 1986",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3381_303754.jpg,1986,34.0667008,-118.4006265,"34.0667008,-118.4006265"
"Traeger, Marsha","Cynthia Jimenez-Telles on set of KSCI's ""Consulta Psicologica"" television program in Calif., 1986",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3378_303690.jpg,1986,34.03453596,-118.4554361,"34.03453596,-118.4554361"
"Bessel, Larry","Deputy Fire Chief Don Anthony amongst stacks destroyed by fire at Los Angeles Central Library, 1986",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3377_303655.jpg,1986,34.050326,-118.2550496,"34.050326,-118.2550496"
"Bessel, Larry","Aerial view of fire at the Los Angeles Central Library, Calif., 1986",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3377_303647.jpg,1986,34.0518594,-118.2541966,"34.0518594,-118.2541966"
"Traeger, Marsha","Miho, Jerry Tondo, Karen Maruyama, and Jay Varela in production of ""Newcomer"" at Mark Taper Forum in Los Angeles, Calif., 1986",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3375_303606.jpg,1986,34.05781494,-118.2477486,"34.05781494,-118.2477486"
"Lubas, Ken","Joe Coulombe, founder and owner of the Trader Joe's chain in California, 1986",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3375_303593-1.jpg,1986,34.135321,-118.16589,"34.135321,-118.16589"
"Jaskol, Ellen","Brady Hall on campus of Mount St. Mary's College in Los Angeles, Calif., 1986",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3373_303556.jpg,1986,34.08523945,-118.4823822,"34.08523945,-118.4823822"
"Lubas, Ken","Aerial view of downtown Los Angeles, Calif., 1986",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3373_303538-1-1.jpg,1986,34.05345944,-118.2393479,"34.05345944,-118.2393479"
"Barnard, Tony","Dodgers' Fernando Valenzuela in wind up for pitch, Los Angeles, Calif., 1986",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3358_303277-2.jpg,1986,34.07345068,-118.2397771,"34.07345068,-118.2397771"
"Share, Jeff","Mako, actor and East West Player's artistic director in Los Angeles, Calif., 1986",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3372_303519.jpg,1986,34.05068824,-118.2399756,"34.05068824,-118.2399756"
"Kamin, Jayne","Basketball player Cheryl Miller in Final Four game against Tennessee, 1986",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3371_303500-3.jpg,1986,38.0493077,-84.50279117,"38.0493077,-84.50279117"
"Chase, Harry","Madrona Marsh with oil wells and condominiums in Torrance, Calif., 1986",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3371_303509-3.jpg,1986,33.82637119,-118.3453059,"33.82637119,-118.3453059"
"Kelsey, Thomas","Basketball players Cherie Nelson and Sharla Muralt during USC vs Montana game in Los Angeles, Calif., 1986",,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclalat_1429_b3369_303446-4.jpg,1986,34.0141658,-118.2879257,"34.0141658,-118.2879257"
